,Fx,Fy,Fz,Tx,Ty,Tz
35.2,171.6571,33.87223,114.8435,-1.06628,9.276222,3.473565
35.3,-41.77869,-40.19093,45.13161,9.259775,-27.52102,4.173456
35.4,-70.01192,-25.16047,11.35964,3.934736,-33.41177,1.091146
35.5,-32.93751,9.501175,20.58478,-0.303093,-27.57508,3.239974
35.6,-51.32063,0.122875,-7.811062,2.168806,-33.69001,-0.121715
35.7,-64.376,-0.982625,-2.108313,1.46187,-35.16416,0.844884
35.8,-47.2751,3.551775,4.0585,1.356003,-30.90084,0.945953
35.9,-53.37766,-7.836338,6.486375,2.376132,-32.07201,2.691816
36,-48.3275,-4.544988,9.270325,2.069321,-30.56075,1.47327
36.1,-45.61681,-10.00768,11.35833,2.919698,-30.72481,2.181869
36.2,-43.38655,-9.975775,14.3196,2.89582,-29.60961,2.46847
36.3,-45.65908,-12.51245,17.04586,3.519278,-31.89467,0.980878
36.4,-41.88959,-12.37655,14.61994,3.199009,-29.34981,2.173319
36.5,-90.19585,-9.949488,52.41971,0.802599,-20.56561,3.849569
36.6,-91.18542,-16.72529,-29.72602,1.404278,-47.40982,2.786153
36.7,-57.76236,21.88355,-22.17906,0.336245,-42.29321,-4.86804
36.8,-66.66299,-20.41628,16.27365,6.347258,-25.47807,8.085681
36.9,-35.86914,-33.11655,33.16291,6.144414,-25.37078,8.327787
37,-29.21244,-11.0279,17.01668,3.850592,-30.39538,3.886904
37.1,-34.35551,-7.84845,21.00999,2.555192,-31.9964,1.488401
37.2,-40.28214,-17.76409,23.20841,4.175508,-30.93516,3.969114
37.3,-35.753,-13.13076,18.77678,3.991218,-31.85882,2.141898
37.4,-39.31247,-15.50631,16.90302,4.162062,-32.44238,3.025607
37.5,-38.23867,-13.9251,19.15392,3.766122,-31.88522,2.55389
