Time,Fx,Fy,Fz,Tx,Ty,Tz
32.3,-63.54382,19.06392,192.7005,7.213792,-19.20155,14.58378
32.4,-55.85812,21.08397,188.8844,6.276209,-18.72736,12.38908
32.5,-42.59602,27.98869,198.5271,6.389234,-15.45689,11.76022
32.6,-100.6373,31.35068,291.2591,4.100874,-18.78634,10.56912
32.7,-370.0143,-64.47354,295.6165,89.48952,-43.26805,69.19631
32.8,6.747425,-63.27909,126.6358,13.7627,-37.5567,36.59505
32.9,-112.8799,-0.999975,211.6374,13.70952,-32.28812,29.99008
33,-51.34709,63.4227,100.1062,3.152801,-53.07639,0.146377
33.1,-50.65023,37.40326,153.2469,5.166298,-41.18223,10.09133
33.2,-85.51888,-60.83034,117.3817,17.68989,-58.95632,34.70297
33.3,-119.2752,-56.46996,172.4791,16.56072,-51.83435,25.57008
33.4,-136.1361,-45.47731,154.2487,15.86888,-57.49754,17.01638
33.5,-109.4858,-17.58643,177.1834,10.7203,-46.2723,17.88248
33.6,-23.07679,-37.96765,206.0762,0.374692,-29.6624,6.097561
33.7,-25.5044,-17.27535,332.1927,6.109367,-8.037431,12.18636
33.8,-62.49494,-13.35595,306.5181,4.699876,-15.94186,10.8767
33.9,-83.10342,11.3049,262.5735,1.562213,-24.96927,7.41248
34,-88.67191,49.35919,206.2162,-1.827739,-28.82662,2.89662
34.1,-103.5935,84.07703,172.2643,-5.81835,-35.25643,2.005503
34.2,88.80247,74.94789,260.3001,-3.751017,-8.139701,4.452178
34.3,54.48388,15.45572,315.5215,6.712534,-0.777672,10.48161
34.4,-241.7678,-4.462838,226.0436,10.09045,-41.75901,10.09186
34.5,-243.3354,22.04177,243.69,5.422207,-38.25935,7.501695
34.6,-84.00051,15.05051,297.0112,8.176998,-14.66207,9.860434
34.7,-365.6966,5.849487,182.6376,6.791113,-50.59409,12.66281
34.8,-145.1506,17.62697,293.1513,1.272917,-30.15045,5.247689
34.9,32.63515,10.5068,288.6336,4.33405,-27.23888,0.250863
35,-92.1131,26.42771,262.6965,2.021354,-32.76369,3.632713
35.1,-84.07303,18.47521,262.8225,0.139724,-26.6754,9.92019
35.2,-22.96395,-14.13436,310.311,5.397101,-3.820701,10.82899
